ID;First_pokemon;First_attack;Second_attack;Third_attack;Fouth_attack;Second_pokemon;First_attack.1;Second_attack.1;Third_attack.1;Fouth_attack.1;Winner
0;266;88;173;259;514;298;447;345;63;91;298
1;702;14;345;444;224;701;404;164;63;370;701
2;191;164;113;416;416;668;451;211;485;29;668
3;237;213;156;36;341;683;401;182;610;422;683
4;151;182;362;504;390;231;341;343;230;360;151
5;657;451;228;398;527;752;213;421;280;379;657
6;192;385;213;445;428;134;93;230;358;214;134
7;73;276;358;213;431;545;261;104;506;244;545
8;220;402;263;230;216;763;216;430;11;104;763
9;302;365;228;253;413;31;572;156;84;486;31
10;442;156;310;240;189;130;293;109;29;36;130
11;701;280;36;15;46;624;472;171;203;237;701
12;15;106;527;334;527;283;216;68;246;497;283
13;151;132;48;66;363;87;565;303;149;249;151
14;269;479;29;29;38;462;60;129;450;60;269
15;763;168;173;330;396;448;164;304;92;416;448
16;143;58;36;207;99;263;84;451;347;98;263
17;365;290;384;138;36;240;290;44;197;31;240
18;499;5;118;97;70;774;496;115;477;201;499
19;563;70;453;401;14;578;60;218;129;281;563
20;440;392;332;511;237;687;280;319;421;173;687
21;373;414;156;70;240;441;36;1;157;468;441
22;654;323;323;291;203;671;488;286;104;517;671
23;121;416;419;470;6;355;444;214;90;174;121
24;609;363;148;74;263;649;512;324;203;412;649
25;270;326;207;512;207;708;92;444;85;211;270
26;460;324;324;81;331;568;214;91;204;343;568
27;626;156;401;91;17;767;182;370;442;565;767
28;139;76;168;58;523;451;209;231;565;565;139
29;694;570;12;404;444;747;357;247;565;91;694
30;455;216;89;231;359;549;374;250;285;285;549
31;181;432;237;450;416;301;496;19;466;38;301
32;208;565;104;14;230;184;304;156;363;211;184
33;536;506;164;399;216;365;332;366;92;143;536
34;260;68;207;68;116;381;352;91;92;430;381
35;471;127;133;182;330;269;59;182;534;201;269
36;621;227;184;283;399;287;196;263;189;162;287
37;406;300;505;173;562;134;68;61;411;102;406
38;592;433;34;499;133;503;401;184;103;290;503
39;564;218;242;447;164;242;57;156;207;510;242
40;579;213;197;116;95;242;53;199;241;291;242
41;200;33;36;70;127;719;33;341;290;191;200
42;376;397;201;164;244;135;38;70;130;29;376
43;76;173;104;188;321;441;237;258;173;240;441
44;667;103;45;472;203;645;164;324;524;104;645
45;475;150;304;300;9;400;102;181;231;157;475
46;3;496;104;230;416;737;129;92;129;29;737
47;435;526;241;148;249;45;272;264;113;477;435
48;231;496;504;479;474;146;117;203;127;45;146
49;510;76;203;333;41;715;404;444;410;164;715
50;456;92;408;68;85;260;565;182;249;92;260
51;164;356;490;207;431;751;163;157;565;442;751
52;424;76;53;189;5;754;207;313;369;94;424
53;258;227;247;252;122;779;207;237;620;76;258
54;360;92;202;213;117;208;71;188;174;156;208
55;723;256;241;433;36;646;164;524;311;565;646
56;384;503;237;92;387;533;240;477;85;203;533
57;734;334;294;450;527;673;200;46;164;283;673
58;141;606;33;56;214;721;264;479;148;162;141
59;244;173;332;58;97;741;371;339;75;267;244
60;509;392;403;109;250;217;237;237;237;237;509
61;633;555;214;279;154;44;326;50;161;214;633
62;595;523;182;374;523;719;447;67;205;9;595
63;606;515;157;506;188;40;53;523;446;89;606
